project_id,project_name,chunk_id,text,flag_type,event,time_to_event,doc_date
IFC_24408_Bujagali_ESIA.pdf,IFC_24408_Bujagali_ESIA,IFC_24408_Bujagali_ESIA_chunk_0,"REPUBLIQUE TOGOLAISE TRAVAIL Ŕ LIBERTE Ŕ PATRIE Lomé Container Terminal (LCT) Etude d’Impact Environnemental et Social (E.I.E.S) Version révisée 27/09/2010 Lomé Container Terminal Etude d'impact environnemental et social LOME CONTAINER TERMINAL (LCT) ETUDE D'IMPACT ENVIRONNEMENTAL ET SOCIAL pour la construction et l'exploitation d'un terminal à conteneurs au Port Autonome de Lomé Etude réalisée sous la responsabilité de la société INROS LACKNER AG, Brême, RFA par BIO-CONSULT, Brême, RFA et notamment Dr. SCHUCHARDT et Mme. DAU Assisté des experts de l'Université de Lomé Dr. TCHEINTI-NABINE, Environnementaliste Dr. ADJOUSSI, Docteur en Géographie Physique M. ADJONOU, Biologiste Rédaction BIO-CONSULT et INROS LACKNER AG M. AMMERMANN M. SANDER Dr. TCHEINTI-NABINE Dr. SCHUCHARDT Mme. DAU Lomé, le .............................. 2010 INROS LACKNER AG K. AMMERMANN Directeur Succursale Brême Directeur Afrique INROS LACKNER AG Page 2 Lomé Container Terminal Etude d'impact environnemental et social Table des Matières Table des Matières .................................................................................................................... 3 Liste des figures et tableaux ...................................................................................................... 7 Liste des acronymes et abréviations ......................................................................................... 10 1. Mise en contexte du projet ............................................................................................... 12 1.1 Introduction ............................................................................................................. 12 1.2 Présentation du promoteur",Flag 1,1,121.4,
IFC_24408_Bujagali_ESIA.pdf,IFC_24408_Bujagali_ESIA,IFC_24408_Bujagali_ESIA_chunk_1,"LACKNER AG Page 2 Lomé Container Terminal Etude d'impact environnemental et social Table des Matières Table des Matières .................................................................................................................... 3 Liste des figures et tableaux ...................................................................................................... 7 Liste des acronymes et abréviations ......................................................................................... 10 1. Mise en contexte du projet ............................................................................................... 12 1.1 Introduction ............................................................................................................. 12 1.2 Présentation du promoteur ........................................................................................ 13 1.3 Objectifs de l'étude ................................................................................................... 14 2. Cadre politique, juridique et institutionnel .......................................................................... 16 2.1 Cadre politique environnemental................................................................................ 16 2.2 Cadre juridique ......................................................................................................... 21 2.2.1 Cadre juridique international .......................................................................... 21 2.2.2 Cadre juridique national ................................................................................ 28 2.3 Cadre institutionnel ................................................................................................... 32 3. Description détaillée du projet .......................................................................................... 37 3.1 Description technique du nouveau terminal à conteneurs ............................................ 37 3.2 Activités à la phase de construction ........................................................................... 41 3.2.1 Généralités ................................................................................................... 41 3.2.2 Construction d'un d'arrêt de sable .................................................................. 43 3.2.3 Décapage du terrain naturel .......................................................................... 45 3.2.4 Remblai du terrain existant d'une épaisseur d'environ 2,00 m .......................... 46 3.2.5 Compactage de la surface du terminal après remblayage hydraulique .............. 47 3.2.6 Compactage superficiel et confection du fond de forme ................................... 47 3.2.7 Réalisation",Flag 1,1,121.4,
IFC_24408_Bujagali_ESIA.pdf,IFC_24408_Bujagali_ESIA,IFC_24408_Bujagali_ESIA_chunk_2,"d'un d'arrêt de sable .................................................................. 43 3.2.3 Décapage du terrain naturel .......................................................................... 45 3.2.4 Remblai du terrain existant d'une épaisseur d'environ 2,00 m .......................... 46 3.2.5 Compactage de la surface du terminal après remblayage hydraulique .............. 47 3.2.6 Compactage superficiel et confection du fond de forme ................................... 47 3.2.7 Réalisation des murs de quai ......................................................................... 47 3.2.7.1 Description détaillée de la construction des murs en palplanches .................................................................................. 48 3.2.7.2 Description détaillée de la construction de la paroi moulée .............. 49 3.2.7.3 Ancrage du mur de quai ............................................................... 50 3.2.8 Fondations pour les portiques et les grues RTG .............................................. 51 3.2.8.1 Fondations pour les portiques ....................................................... 51 3.2.8.2 Fondations pour les grues RTG ...................................................... 52 3.2.9 Ouverture de la jetée et dragage de la darse .................................................. 52 3.2.10 Construction des VRD.................................................................................... 53 3.2.10.1 Canalisation d'évacuation des eaux pluviales .................................. 53 3.2.10.2 Réseaux d'eau potable et de combat contre les incendies ............... 55 3.2.10.3 Réseaux de câbles électriques ....................................................... 55 3.2.10.4 Revêtement pour les surfaces de stockage et les voies de circulation .................................................................................... 56 3.2.11 Alimentation électrique",Flag 1,1,121.4,
IFC_24408_Bujagali_ESIA.pdf,IFC_24408_Bujagali_ESIA,IFC_24408_Bujagali_ESIA_chunk_3,"52 3.2.10 Construction des VRD.................................................................................... 53 3.2.10.1 Canalisation d'évacuation des eaux pluviales .................................. 53 3.2.10.2 Réseaux d'eau potable et de combat contre les incendies ............... 55 3.2.10.3 Réseaux de câbles électriques ....................................................... 55 3.2.10.4 Revêtement pour les surfaces de stockage et les voies de circulation .................................................................................... 56 3.2.11 Alimentation électrique du terminal ................................................................ 56 3.2.12 Stockage de produits dangereux .................................................................... 57 3.2.13 Bâtiments et clôtures .................................................................................... 57 3.2.14 Matériaux requis pour les Phases I, II et III .................................................... 58 3.3 Activités à la phase d'exploitation .............................................................................. 61 3.3.1 Généralités ................................................................................................... 61 3.3.2 Volume de manutention projeté ..................................................................... 62 3.3.3 Equipement du terminal ................................................................................ 62 INROS LACKNER AG Page 3 Lomé Container Terminal Etude d'impact environnemental et social 3.3.4 Exploitation du terminal ................................................................................. 63 3.3.4.1 Description des procédures sur le terminal ..................................... 63 3.4 Activités à la phase de fin de projet ........................................................................... 66 3.5 Calendrier indicatif détaillé de réalisation de la 1e phase du projet ............................... 67 3.6 Description des alternatives ....................................................................................... 68 3.7 Emploi et promotion socio-économique du projet........................................................ 69 3.7.1 Emplois prévus .............................................................................................",Flag 1,1,121.4,
IFC_24408_Bujagali_ESIA.pdf,IFC_24408_Bujagali_ESIA,IFC_24408_Bujagali_ESIA_chunk_4,"des procédures sur le terminal ..................................... 63 3.4 Activités à la phase de fin de projet ........................................................................... 66 3.5 Calendrier indicatif détaillé de réalisation de la 1e phase du projet ............................... 67 3.6 Description des alternatives ....................................................................................... 68 3.7 Emploi et promotion socio-économique du projet........................................................ 69 3.7.1 Emplois prévus ............................................................................................. 69 3.7.2 Formation et Education des salariés de la Société ........................................... 71 3.7.3 Sécurité des opérations ................................................................................. 71 4. Méthodologie ................................................................................................................... 73 4.1 Délimitation de la zone d'étude .................................................................................. 73 4.2 Bases des données ................................................................................................... 74 4.2.1 Recherche documentaire et analyse multicritère ............................................. 74 4.2.2 Prospection de terrain et observation ............................................................. 75 4.2.3 Evaluation des bases des données ................................................................. 75 4.3 Méthodologie de description de l'état initial ................................................................ 76 4.3.1 Flore et végétation ........................................................................................ 76 4.3.2 Faune .......................................................................................................... 78 4.3.3 Etude sociale ................................................................................................ 79 4.4 Méthodologie d'identification, description et évaluation des impacts ............................. 81 4.4.1 Evaluation de l'état initial ............................................................................... 82 4.4.2 Démarche d'identification des impacts ............................................................ 82 4.4.3 Démarche d'évaluation d'impacts ................................................................... 82 4.4.4 Critères d'évaluation des impacts ................................................................... 83 4.5 Méthode d'évaluation des",Flag 1,1,121.4,
IFC_24408_Bujagali_ESIA.pdf,IFC_24408_Bujagali_ESIA,IFC_24408_Bujagali_ESIA_chunk_5,"4.3.2 Faune .......................................................................................................... 78 4.3.3 Etude sociale ................................................................................................ 79 4.4 Méthodologie d'identification, description et évaluation des impacts ............................. 81 4.4.1 Evaluation de l'état initial ............................................................................... 82 4.4.2 Démarche d'identification des impacts ............................................................ 82 4.4.3 Démarche d'évaluation d'impacts ................................................................... 82 4.4.4 Critères d'évaluation des impacts ................................................................... 83 4.5 Méthode d'évaluation des impacts partant des Principes d'Equateur ............................. 85 4.6 Méthode d'identification des mesures d'atténuation .................................................... 86 5. Description de l'état initial ................................................................................................ 87 5.1 Environnement Biophysique ...................................................................................... 87 5.1.1 Géologie ....................................................................................................... 87 5.1.2 Climat .......................................................................................................... 88 5.1.3 Hydrographie ................................................................................................ 91 5.1.4 Dynamique sédimentaire ............................................................................... 93 5.1.5 Qualité des sédiments .................................................................................. 102 5.1.6 Dynamique et pollution du sol terrestre ......................................................... 106 5.1.7 Qualité de l'eau ............................................................................................ 107 5.1.8 Qualité de l'air ............................................................................................. 107 5.1.9 Nuisances sonores ....................................................................................... 108 5.1.10 Biodiversité marine : Végétation ................................................................... 108 5.1.11 Biodiversité marine : Faune .......................................................................... 109 5.1.12 Biodiversité terrestre : Types de biotope et végétation ................................... 111 5.1.13 Biodiversité terrestre : Faune ........................................................................ 121 5.2 Environnement socio-économique ............................................................................. 124 5.2.1 La zone étudiée ........................................................................................... 124 5.2.1.1 Les activités exercées dans la",Flag 1,1,121.4,
IFC_24408_Bujagali_ESIA.pdf,IFC_24408_Bujagali_ESIA,IFC_24408_Bujagali_ESIA_chunk_6,"108 5.1.10 Biodiversité marine : Végétation ................................................................... 108 5.1.11 Biodiversité marine : Faune .......................................................................... 109 5.1.12 Biodiversité terrestre : Types de biotope et végétation ................................... 111 5.1.13 Biodiversité terrestre : Faune ........................................................................ 121 5.2 Environnement socio-économique ............................................................................. 124 5.2.1 La zone étudiée ........................................................................................... 124 5.2.1.1 Les activités exercées dans la zone ............................................... 124 5.2.1.2 Importance économique .............................................................. 131 5.2.1.3 Situation sociale .......................................................................... 135 5.2.2 Les abords de la zone étudiée, y compris le port ............................................ 140 5.2.2.1 Les activités ................................................................................ 140 5.2.2.2 L'importance économique ............................................................ 141 5.2.2.3 Situation sociale .......................................................................... 141 INROS LACKNER AG Page 4 Lomé Container Terminal Etude d'impact environnemental et social 6. Identification, description et évaluation des impacts du projet sur l'environnement ............. 142 6.1 Sources et identification des d'impacts ...................................................................... 142 6.2 Evaluation de l'état initial environnemental ................................................................ 146 6.2.1 Evaluation de l'état initial du milieu biophysique ............................................. 146 6.2.2 Evaluation de l'état initial du milieu humain ................................................... 148 6.3 Impacts du projet lors de la phase de construction .................................................... 149 6.3.1 Impacts environnementaux sur le milieu biophysique ..................................... 149 6.3.1.1",Flag 1,1,121.4,
IFC_24408_Bujagali_ESIA.pdf,IFC_24408_Bujagali_ESIA,IFC_24408_Bujagali_ESIA_chunk_7,6.2 Evaluation de l'état initial environnemental ................................................................ 146 6.2.1 Evaluation de l'état initial du milieu biophysique ............................................. 146 6.2.2 Evaluation de l'état initial du milieu humain ................................................... 148 6.3 Impacts du projet lors de la phase de construction .................................................... 149 6.3.1 Impacts environnementaux sur le milieu biophysique ..................................... 149 6.3.1.1 Construction de l'épi d'arrêt de sable ............................................ 149 6.3.1.2 Décapage du terrain .................................................................... 151 6.3.1.3 Surélévation du terrain ................................................................ 159 6.3.1.4 Compactage du terrain ................................................................ 162 6.3.1.5 Construction des murs de quai ..................................................... 162 6.3.1.6 Remblayage de la plage (dans le cadre du dragage de la darse) ......................................................................................... 165 6.3.1.7 Scellement du sol ........................................................................ 168 6.3.1.8 Approfondissement du bassin portuaire existant et du chenal d'accès ....................................................................................... 168 6.3.1.9 Les autres activités lors de la construction du projet ...................... 170 6.3.2 Impacts environnementaux sur le milieu humain............................................ 175 6.3.2.1 Construction de l'épi d'arrêt de sable ............................................ 175 6.3.2.2 Décapage du terrain (Libération de la zone du projet) ................... 175 6.3.2.3 Surélévation de la zone du projet ................................................. 179 6.3.2.4 Compactage du terrain ................................................................ 179 6.3.2.5 Construction,Flag 1,1,121.4,
IFC_24408_Bujagali_ESIA.pdf,IFC_24408_Bujagali_ESIA,IFC_24408_Bujagali_ESIA_chunk_8,"du projet ...................... 170 6.3.2 Impacts environnementaux sur le milieu humain............................................ 175 6.3.2.1 Construction de l'épi d'arrêt de sable ............................................ 175 6.3.2.2 Décapage du terrain (Libération de la zone du projet) ................... 175 6.3.2.3 Surélévation de la zone du projet ................................................. 179 6.3.2.4 Compactage du terrain ................................................................ 179 6.3.2.5 Construction des murs de quai ..................................................... 179 6.3.2.6 Les autres activités lors de la construction du terminal ................... 180 6.4 Impacts du projet pendant la phase d'exploitation ..................................................... 182 6.4.1 Impacts environnementaux sur le milieu biophysique ..................................... 182 6.4.1.1 Augmentation du trafic maritime .................................................. 182 6.4.1.2 Augmentation des activités portuaires terrestres ........................... 183 6.4.2 Impacts environnementaux sur le milieu humain............................................ 185 6.4.2.1 Augmentation du trafic maritime .................................................. 185 6.4.2.2 Développement et fonctionnement du terminal ............................. 187 6.5 Impacts du projet à la phase de fin de projet ............................................................ 192 6.6 Effets cumulatifs et transfrontaliers de planifications, projets et plans futurs ............... 193 6.7 Tableaux récapitulatifs sur l'évaluation des impacts du projet sur l'environnement ....................................................................................................... 195 7. Plan global de gestion environnementale et sociale ........................................................... 197 7.1",Flag 1,1,121.4,
IFC_24408_Bujagali_ESIA.pdf,IFC_24408_Bujagali_ESIA,IFC_24408_Bujagali_ESIA_chunk_9,"6.5 Impacts du projet à la phase de fin de projet ............................................................ 192 6.6 Effets cumulatifs et transfrontaliers de planifications, projets et plans futurs ............... 193 6.7 Tableaux récapitulatifs sur l'évaluation des impacts du projet sur l'environnement ....................................................................................................... 195 7. Plan global de gestion environnementale et sociale ........................................................... 197 7.1 Objet et contenu du plan global de gestion environnementale et sociale ..................... 197 7.2 Responsabilités et contrôles ..................................................................................... 198 7.3 Le plan spécifique de gestion environnementale et sociale ......................................... 198 7.4 Mesures environnementales pendant la phase de construction ................................... 199 7.4.1 Mesures concernant l'ensablement à l'Ouest du port ...................................... 199 7.4.2 Mesures concernant l'érosion à l'Est du port .................................................. 199 7.4.3 Mesures concernant la qualité de l'eau .......................................................... 200 7.4.4 Mesures concernant le bruit .......................................................................... 201 7.4.5 Mesures concernant la qualité de l'air ............................................................ 202 7.4.6 Traitement et stockage des substances dangereuses...................................... 203 7.4.6.2 Gestion des déchets .................................................................... 204 7.4.6.3 Gestion des eaux usées sanitaires ................................................ 205 7.4.6.4 Création de surfaces de compensation et de surfaces protégées ................................................................................... 206 7.4.6.5 Mesures spécifiques pour le rétablissement",Flag 1,1,121.4,
